bx,by,rx,ry,dx,dy
1,13,1,7,0,-1
1,13,1,15,0,1
1,13,2,4,0,-1
1,13,2,14,0,1
1,13,3,5,0,-1
1,13,3,7,0,-1
1,14,1,4,0,-1
1,14,1,6,0,-1
1,14,1,16,0,1
1,14,3,6,0,-1
1,14,3,14,1,0
1,15,1,3,0,-1
1,15,1,5,0,-1
1,15,2,4,0,-1
1,15,2,14,0,-1
1,15,3,5,0,-1
1,16,1,4,0,-1
1,16,3,14,0,-1
1,18,2,17,1,0
1,20,6,19,0,1
1,21,5,19,1,0
1,22,6,19,0,-1
2,2,1,1,0,-1
2,4,1,3,-1,0
2,8,1,3,-1,0
2,8,1,5,-1,0
2,8,1,7,-1,0
2,8,1,13,0,1
2,8,1,15,0,1
2,8,2,4,-1,0
2,8,2,12,0,1
2,8,2,14,0,1
2,8,3,5,1,0
2,8,3,7,1,0
2,9,1,4,0,-1
2,9,1,6,0,-1
2,9,1,8,0,-1
2,9,1,10,0,1
2,9,1,12,0,1
2,9,1,14,0,1
2,9,1,16,0,1
2,9,2,11,0,1
2,9,3,6,0,-1
2,9,3,8,0,-1
2,9,3,14,0,1
2,10,1,3,0,-1
2,10,1,5,0,-1
2,10,1,7,0,-1
2,10,1,13,0,1
2,10,1,15,0,1
2,10,2,4,0,-1
2,10,2,8,0,-1
2,10,2,12,0,1
2,10,2,14,0,1
2,10,3,5,0,-1
2,10,3,7,0,-1
2,11,1,4,0,-1
2,11,1,6,0,-1
2,11,1,8,0,-1
2,11,1,10,0,-1
2,11,1,12,0,1
2,11,1,14,0,1
2,11,1,16,0,1
2,11,2,9,0,-1
2,11,3,6,0,-1
2,11,3,8,0,-1
2,11,3,14,0,1
2,12,1,3,0,-1
2,12,1,5,0,-1
2,12,1,7,0,-1
2,12,1,13,-1,0
2,12,1,15,-1,0
2,12,2,4,0,-1
2,12,2,8,0,-1
2,12,2,14,-1,0
2,12,3,5,0,-1
2,12,3,7,0,-1
2,14,1,3,-1,0
2,14,1,5,-1,0
2,14,1,15,-1,0
2,14,2,4,-1,0
2,14,3,5,-1,0
2,19,2,17,0,-1
2,21,5,20,1,0
2,21,6,19,1,0
2,23,1,28,1,0
2,23,6,19,1,0
2,26,1,27,0,1
2,27,1,28,-1,0
3,2,2,1,-1,0
3,3,1,1,0,-1
3,3,2,2,0,-1
3,3,4,4,1,0
3,5,1,3,0,1
3,5,1,5,0,1
3,5,1,15,0,1
3,5,2,4,0,1
3,5,2,14,0,1
3,6,1,4,0,1
3,6,1,6,0,1
3,6,1,14,0,1
3,6,1,16,0,1
3,6,3,14,0,1
3,7,1,3,0,1
3,7,1,5,0,1
3,7,1,7,0,1
3,7,1,13,0,1
3,7,1,15,0,1
3,7,2,4,0,1
3,7,2,14,0,1
3,7,3,5,0,-1
3,8,1,4,-1,0
3,8,1,6,-1,0
3,8,1,8,-1,0
3,8,1,12,-1,0
3,8,1,14,-1,0
3,8,1,16,-1,0
3,8,3,6,0,-1
3,8,3,14,-1,0
3,10,1,4,-1,0
3,10,1,6,-1,0
3,10,1,8,-1,0
3,10,1,10,-1,0
3,10,1,12,-1,0
3,10,1,14,-1,0
3,10,1,16,-1,0
3,10,2,9,-1,0
3,10,2,11,-1,0
3,10,3,6,-1,0
3,10,3,8,-1,0
3,10,3,14,-1,0
3,14,1,4,-1,0
3,14,1,16,-1,0
3,18,2,17,-1,0
3,21,4,20,1,0
3,21,5,19,1,0
3,23,1,27,0,1
3,23,5,19,1,0
3,23,7,21,1,0
3,24,1,28,0,1
3,24,2,27,0,1
3,24,6,19,0,-1
3,25,1,27,0,1
3,25,2,26,0,1
3,26,1,28,-1,0
3,26,2,27,-1,0
3,26,3,28,1,0
3,28,1,28,1,0
4,1,2,1,1,0
4,1,3,2,1,0
4,1,4,3,1,0
4,3,2,1,-1,0
4,3,3,2,-1,0
4,3,4,1,1,0
4,4,1,1,0,-1
4,4,2,2,0,-1
4,4,3,3,0,-1
4,10,1,3,-1,0
4,10,1,5,-1,0
4,10,1,7,-1,0
4,10,1,13,-1,0
4,10,1,15,-1,0
4,10,2,4,-1,0
4,10,2,8,-1,0
4,10,2,10,-1,0
4,10,2,12,-1,0
4,10,2,14,-1,0
4,10,3,5,-1,0
4,10,3,7,-1,0
4,11,1,4,0,-1
4,11,1,6,0,-1
4,11,1,8,0,-1
4,11,1,10,0,-1
4,11,1,12,0,-1
4,11,1,14,0,-1
